Name,Review,UpVotes,Rating,Date
Ashok Bhatt,Mostly these days the app is down. I am a premium member but can't even play downloaded songs as app is unable to connect to server. From web browser is works fine.,2,Rated 4 stars out of five stars,"April 26, 2020"
,,,,
Chinmay Kar,"It's good but I just want a timer so that the songs could be off automatically without any human interruption. That's the only problem I have with gaana.except that inconvenience everything is alright. The advertisements are too many and they are also causing a bit of inconvenience to me. There are ...
Full Review",2,Rated 1 stars out of five stars,"April 26, 2020"
,,,,
Amit,"Good app but... When I clear it from recents playback stops, I also use wynk and Hungama music they don't have this problem... Cutting stars just for this problem... Fix this please..., I'm a gaana plus user",2,Rated 2 stars out of five stars,"April 21, 2020"
,,,,
Gamma Gaana Ltd,"Super Song Aap ever...Better than Spotify i am 100% sure...Gaana has given me all the songs even without holding the songs back asking to pay money first like Spotify, also Spotify threatens me that without payments songs will sound like a simple without hd clearity which i never fond in gaana...Wow...
Full Review",6,Rated 1 stars out of five stars,"April 23, 2020"
,,,,
Aparna Jadhav,"It always randomly stops playing the queued songs, have to click the next button for next song everytime. Really disappointing and frustrating while playing music and doing some work.",,Rated 5 stars out of five stars,"April 27, 2020"
,,,,
Pratyush Vatsal Shukla,"This video status when playing music are really annoying, can't even stop them. Worsening the experience while listening to music.",,Rated 2 stars out of five stars,"April 22, 2020"
,,,,
Basuki Nath Kumar,Most of the songs are not playing and its pop up the error that the song is not available in your country. These songs are in our language itself @gaana I payed for gaana plus and i need a solution Or else refund the amount and I'll look for alternative applications,2,Rated 2 stars out of five stars,"April 26, 2020"
,,,,
Viren Rajput,Your radio feature is not so good beacuse after some number of songs they are getting repeated and then same songs repeat again and again that's why in radio feature you are lacking. In radio feature same bundle of songs should not repeat.,3,Rated 4 stars out of five stars,"April 22, 2020"
,,,,
Gamma Gaana Ltd,After the recent upload I'm getting "content not available" for every English songs excluding my downloaded songs. Gaana please reply to this. Is there something wrong with app or other problem?,4,Rated 2 stars out of five stars,"April 23, 2020"
,,,,
Romil Shroff,Painful experience. I have killed the app and stoped the music. Still notification is stuck and it keeps in using data and battery. I always have to force stop the app after use. Please help,4,Rated 2 stars out of five stars,"April 24, 2020"
,,,,
Gamma Gaana Ltd,"Good platform for entertainment, but only for some official languages of India. I m a Nepali, no Nepali songs or Nepali artists are added. In short this app is only for Indian, specially recommended for some of the chosen official languages.",3,Rated 1 stars out of five stars,"April 21, 2020"
,,,,
Abroms Jacksci,If you listen to so many songs in just a few days then this app gives u free download and every month u have to renew it by just listening a few songs . I like this app very much it have so much to listen to and there are many free downloads,9,Rated 3 stars out of five stars,"April 28, 2020"
,,,,
Gamma Gaana Ltd,"Good app, gui is superb specially because of regional language support. Only problem is that since I have limited space in my phone it fills up memory quickly so I need to uninstall it frequently to clear memory space.",5,Rated 5 stars out of five stars,"April 29, 2020"
,,,,
Knowledge Guide,I have never written any review for any app in play store... But as a musician this is my first choice for listening as it don't consume much internet as well as mobile charge.,,Rated 5 stars out of five stars,"April 26, 2020"
,,,,
RAJESH NAIK,Tho I use same mobile number when I reinstall why favourites and Playlist disappear? And I need to re create all together from scratch.. It's a real pain,,Rated 5 stars out of five stars,"April 26, 2020"
,,,,
jitesh sachdev,Just because of..once you get the subscription then you can't cancel it..This is what happened with me..i am trying to off my auto renewal subscription but i cant get this option.. This is very bad experience of gaana,5,Rated 1 stars out of five stars,"April 28, 2020"
,,,,
kirtan.makwana@gmail.com kirtan2311,"Met my expectations, really enjoying the quality of the audio and the collection. Some bugs are need to be fixed, other than that it's excellent.",5,Rated 1 stars out of five stars,"April 28, 2020"
,,,,
pavi g,"A good app to download and entertainment app and had a motivation to Download the latest version of the appp and a very nice and very fabulous app to listen songs unlimited by using less amount of the gb of the day so thank you for launching this beautiful app and the surrounding area there some com...
Full Review",5,Rated 5 stars out of five stars,"April 22, 2020"
,,,,
Gamma Gaana Ltd,I lost my all data after I changed my device. My downloads are not syncing and I lost all the Playlists that made. What's the point of buying subscription if I can't restore my data.,,Rated 5 stars out of five stars,"April 23, 2020"
,,,,
Yash Bhamare,My songs are not getting download and help section don't give a proper solution of my problem and before the timings help section use to avoid my problems and there is no reply from there side,,Rated 1 stars out of five stars,"April 22, 2020"
,,,,
Hitesh Sharma,Music straming quality is good but needs to fix the bug..and one more issue which that this app shown update on daily basis ..,,Rated 1 stars out of five stars,"April 26, 2020"
,,,,
pradeep kumar,"Everything looks great but some features are missing which are available in other music streaming apps. There is no option of keeping an album as favourite. Once we mark an album as a favourite, searching album in favourites will be better than searching an album again and again online. And one more...
Full Review",17,Rated 4.3 stars out of five stars,"April 28, 2020"
,,,,
Priyadarshini Baburaj,"This was very nice . But some issues is there, im selecting the song for activating my hello tune and it's available after I open and selct the line I can't able to set up??? Then why it's showing its available. For many songs I having this same problem and also I update the app also but still I can...
Full Review",16,Rated 4 stars out of five stars,"April 28, 2020"
